id,year,ai_papers,ai_patents,ai_investment_billion_usd,ai_companies_founded,deep_learning_breakthroughs,compute_growth_petaflops
1,2010,18000,3200,1.2,420,2,0.0001
2,2011,21000,3800,1.5,480,3,0.0003
3,2012,25000,4800,2.1,620,5,0.001
4,2013,32000,6200,3.8,780,7,0.003
5,2014,41000,8900,6.5,980,10,0.01
6,2015,58000,12400,12.0,1350,14,0.04
7,2016,78000,18200,28.0,2100,18,0.15
8,2017,102000,26800,45.0,3200,22,0.6
9,2018,138000,39800,78.0,4600,28,2.1
10,2019,182000,58200,112.0,6200,34,8.5
11,2020,228000,78200,145.0,7800,41,28.0
12,2021,292000,102000,198.0,9200,48,92.0
13,2022,368000,132000,248.0,10400,56,280.0
14,2023,448000,158000,285.0,11200,64,890.0
15,2024,512000,172000,308.0,11800,71,3200.0
16,2025,580000,185000,320.0,12400,78,8200.0
